	reactant	product	byproduct	reagent	solvent	catalyst	yield
34	CCCCCCCCCCOC(C)c1ccc(C(=O)OCCCC)cc1	CCCCCCCCCCOC(C)c1ccc(C(=O)O)cc1	CCCCO[Na+]	O[Na].C1CCOC1	empty	empty	0.0
35	CC(C)(C)S(=O)N1Cc2cc(C(N)=O)nc(-c3cccc(-c4cccnc4)c3)c2C1CCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C.[F-]	CC(C)(C)S(=O)N1Cc2cc(C(N)=O)nc(-c3cccc(-c4cccnc4)c3)c2C1CCO	CC(C)(C)[Si](F)(c1ccccc1)c1ccccc1		empty	empty	0.0
36	COC(=O)C(=O)OC.CCCCCC[Mg]Br	CCCCCCC(=O)C(=O)OC	C[O-][Mg+]Br	C1CCOC1	empty	empty	0.0
37	CC(C)C(O)(c1cccc(Br)c1)c1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1.OB(O)c1ccsc1	CC(C)C(O)(c1cccc(-c2ccsc2)c1)c1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1	CCOB(O)OO=C(O[Na])OB(O)OOB(O)O[Br-][Na+]c1ccc(P(c2ccccc2)c2ccccc2)cc1c1ccc(P(c2ccccc2)c2ccccc2)cc1	c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1.Cc1ccccc1.O=C(O[Na])O[Na].CCO.O	empty	empty	0.0
38	O=c1c(I)c(OCc2ccc(F)cc2)ccn1Cc1cccc(F)c1.C[Sn](C)(C)C	Cc1c(OCc2ccc(F)cc2)ccn(Cc2cccc(F)c2)c1=O	C[Pd]ClC[Sn](C)(C)ClC[Sn](C)(C)ICl[Pd]I	c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.CN(C)C=O.Cl[Pd]Cl.N#N.[Li]Cl	empty	empty	0.0
39	CCCCCc1ccc(Br)cc1.C#CC(C)(C)O	CCCCCc1ccc(C#CC(C)(C)O)cc1	Cl[Cu]Cl[Pd](Br)P(c1ccccc1)(c1ccccc1)c1ccccc1I[Cu]Brc1ccc(P(c2ccccc2)c2ccccc2)cc1	Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.CCN(CC)CC.[C-]#[O+].[Cu]I	empty	empty	0.0
40	O=c1c(OCc2ccccc2)cn(-c2ccc(N3CC(F)(F)C3)cc2F)nc1-c1ccnn1-c1ccccc1	O=c1c(O)cn(-c2ccc(N3CC(F)(F)C3)cc2F)nc1-c1ccnn1-c1ccccc1	CCCC(=O)OCC=OCCOCc1ccccc1O=c1ccn(-c2ccc(N3CC(F)(F)C3)cc2F)nc1-c1ccnn1-c1ccccc1OCc1ccccc1	CO.CCOC(C)=O.[Pd].[H][H]	empty	empty	0.0
41	CCOC(=O)Cc1cncnc1Cl.C#C[Si](CC)(CC)CC	CCOC(=O)Cc1cncnc1C#C[Si](CC)(CC)CC	Cl[Cu]IIc1ccc(P(c2ccccc2)c2ccccc2)cc1	c1ccc(P(c2ccccc2)c2ccccc2)cc1.CCN(CC)CC.CN(C)C=O.N#N	empty	empty	0.0
42	CC(C)(O)C1CCNC1.CC(C)NC(=O)C1CCC(n2c(=NC(=O)c3ccc(F)cc3)[nH]c3ccc(CO)cc32)CC1.O=S(Cl)Cl	CC(C)NC(=O)C1CCC(n2c(=NC(=O)c3ccc(F)cc3)[nH]c3ccc(CN4CCC(C(C)(C)O)C4)cc32)CC1	O=S=O[Cl-][Cl-]		empty	empty	0.0
43	C=CCOC(=O)NC(C(=O)NC(C)C(=O)Nc1ccc(COC(=O)N2c3cc(OCCCCCOc4cc5c(cc4OC)C(=O)N4C=C(c6ccc(OC)cc6)CC4CN5C(=O)OCC=C)c(OC)cc3C(=O)N3CC4(CC4)CC3C2O[Si](C)(C)C(C)(C)C)cc1)C(C)C.[F-]	C=CCOC(=O)NC(C(=O)NC(C)C(=O)Nc1ccc(COC(=O)N2c3cc(OCCCCCOc4cc5c(cc4OC)C(=O)N4C=C(c6ccc(OC)cc6)CC4CN5C(=O)OCC=C)c(OC)cc3C(=O)N3CC4(CC4)CC3C2O)cc1)C(C)C	CC(C)(C)[Si](C)(C)F		empty	empty	0.0
44	Cc1onc(-c2ccccc2)c1-c1nnc2n1Cc1ccc(O)cc1-2.CC(C)(C)OC(=O)N1CCC(O)CC1	Cc1onc(-c2ccccc2)c1-c1nnc2n1Cc1ccc(OC3CCN(C(=O)OC(C)(C)C)CC3)cc1-2	CCOC(=O)NNC(=O)OCCO=P(c1ccccc1)(c1ccccc1)c1ccccc1	c1ccc(P(c2ccccc2)c2ccccc2)cc1.CCOC(=O)N=NC(=O)OCC.O=C(O)C(F)(F)F.ClCCl.[C-]#[O+]	empty	empty	0.0
45	COc1ccc(-c2noc(C3CCN(C(=O)CN)CC3)n2)cc1OC.Clc1nccc2ccccc12	COc1ccc(-c2noc(C3CCN(C(=O)CNc4nccc5ccccc45)CC3)n2)cc1OC	CC(=O)OCC(=O)O[Pd]ClCC(=O)O[Pd]OC(=O)O[Cs]O=C(O)O[Cs][Cl-][Cs+]	c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1.CC(=O)O[Pd]OC(C)=O.Cc1ccccc1.O=C(O[Cs])O[Cs].N#N	empty	empty	0.0
46	CCCC(C)(C)C(=O)O.CNOC	CCCC(C)(C)C(=O)N(C)OC	[OH-]	Cl.CCN=C=NCCCN(C)C.CN1CCOCC1.On1nnc2ccccc21.ClCCl	empty	empty	0.0
47	CC(C)(C)OC(=O)N1CCC(C=O)C1.C[Mg]I	CC(O)C1CCN(C(=O)OC(C)(C)C)C1	[CH3-][Mg+]I	C1CCOC1.[C-]#[O+]	empty	empty	0.0
48	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CSc1ccc(Br)cn1	CSc1ccc(B2OC(C)(C)C(C)(C)O2)cn1	CC1(C)OB(Br)OC1(C)C	CC(=O)O[K].CS(C)=O.[Pd]	empty	empty	0.0
49	C=C[Sn](CCCC)(CCCC)CCCC.CC(=O)CCC(=O)c1ccc(Br)cc1	C=Cc1ccc(C(=O)CCC(C)=O)cc1	C=C[Sn](Br)(CCCC)CCCCCCCC[Sn](Br)(CCCC)CCCCCCCCc1ccc(C(=O)CCC(C)=O)cc1	c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.Cc1ccccc1.F[Na].[Pd]	empty	empty	0.0
50	CC(C)(C)P([Pd]P(C(C)(C)C)(C(C)(C)C)C(C)(C)C)(C(C)(C)C)C(C)(C)C.Clc1ccc2c(c1)C1(c3ccccc3O2)C2CC3CC(C2)CC1C3.O=C(O[K])O[K].OB(O)c1ccc(N(c2ccc(-c3ccccc3)cc2)c2ccc3ccccc3c2)cc1	c1ccc(-c2ccc(N(c3ccc(-c4ccc5c(c4)C4(c6ccccc6O5)C5CC6CC(C5)CC4C6)cc3)c3ccc4ccccc4c3)cc2)cc1	O=C(O[K])OB(O)O[Cl-][K+]		empty	empty	0.0
51	CN1C(=O)C(N)N=C(c2ccccc2)c2ccccc21.O=C(O)C(Cc1ccc(Cl)c(Cl)c1)c1ccccc1	CN1C(=O)C(NC(=O)C(Cc2ccc(Cl)c(Cl)c2)c2ccccc2)N=C(c2ccccc2)c2ccccc21	[OH-]		empty	empty	0.0
52	COC(=O)CC(O)(CCCC(C)(C)O)C(=O)OC1C(OC)=CC23CCCN2CCc2cc4c(cc2C13)OCO4.O=S(Cl)Cl	COC(=O)CC(O)(CCCC(C)(C)Cl)C(=O)OC1C(OC)=CC23CCCN2CCc2cc4c(cc2C13)OCO4	O=S([O-])Cl		empty	empty	0.0
53	COc1cccc([N+](=O)[O-])c1C.O=C1CCC(=O)N1Br	COc1cccc([N+](=O)[O-])c1CBr	BrO=C1CCC(=O)[NH]1[BrH]	CC(C)(C)OO	empty	empty	0.0
54	CCCCCCCCC=CCCCCCCCCOCC(COCCOCCOCCOCCO)OCCCCCCCCC=CCCCCCCCC.CCN=C=NCCCN(C)C.COCCN(CC(=O)OCCN(CC(=O)O)C(=O)OC(C)(C)C)C(=O)OC(C)(C)C	CCCCCCCCC=CCCCCCCCCOCC(COCCOCCOCCOCCOC(=O)CN(CCOC(=O)CN(CCOC)C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)OCCCCCCCCC=CCCCCCCCC	CCNC(=O)NCCCN(C)C		empty	empty	0.0
55	CC(O)C(=O)OCc1ccccc1.CCOC(=O)N=NC(=O)OCC.CN(C(=O)OC(C)(C)C)C(C(=O)O)C(C)(C)C.c1ccc(P(c2ccccc2)c2ccccc2)cc1	CC(OC(=O)C(N(C)C(=O)OC(C)(C)C)C(C)(C)C)C(=O)OCc1ccccc1	CCOC(=O)NNC(=O)OCCO=P(c1ccccc1)(c1ccccc1)c1ccccc1		empty	empty	0.0
56	COCOc1cc(O[Si](C(C)C)(C(C)C)C(C)C)ccc1-c1cc2cnn(C3CC(C)(C)NC(C)(C)C3)c2nn1	COCOc1cc(O)ccc1-c1cc2cnn(C3CC(C)(C)NC(C)(C)C3)c2nn1	CC(C)[Si](F)(C(C)C)C(C)C	CCCC[N+](CCCC)(CCCC)CCCC.C1CCOC1.[F-]	empty	empty	0.0
57	O=C(Cl)OCc1ccccc1.OCC1Cc2ccccc2CN1	O=C(OCc1ccccc1)N1Cc2ccccc2CC1CO	[Cl-]		empty	empty	0.0
58	C=CC(=O)NC1CCN(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)CC1	C=CC(=O)NC1CCN(S(=O)(=O)c2ccc(N)cc2)CC1	OO[Fe+2]	[NH4+].O.[Cl-].CCO.[Fe]	empty	empty	0.0
59	COC(=O)C(C)(CCBr)c1ccc(Cl)c(Cl)c1.CC(=O)N(C)C1CCNCC1	COC(=O)C(C)(CCN1CCC(N(C)C(C)=O)CC1)c1ccc(Cl)c(Cl)c1	[Br-]		empty	empty	0.0
60	CNC(=O)c1cc(C(=O)Oc2c(Cl)cc(Cl)cc2Cl)cn(Cc2ccccc2)c1=O.CCCN	CCCNC(=O)c1cc(C(=O)NC)c(=O)n(Cc2ccccc2)c1	[O-]c1c(Cl)cc(Cl)cc1Cl	CN(C)c1ccncc1.CCN(CC)CC.C1CCOC1.N#N	empty	empty	0.0
61	CCOC(=O)N=NC(=O)OCC.O=C1NC(=O)c2ccccc21.OC1CC2CCC1C2.c1ccc(P(c2ccccc2)c2ccccc2)cc1	O=C1c2ccccc2C(=O)N1C1CC2CCC1C2	CCOC(=O)NNC(=O)OCCO=P(c1ccccc1)(c1ccccc1)c1ccccc1		empty	empty	0.0
62	Cc1cc(OCC(=O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1.CO.N	Cc1cc(OCC(N)=O)cc(C)c1Cc1ccc(O)c(C(C)C)c1	[OH-]	O=S(=O)(O)O.ClCCl.CO.CO.O[Na]	empty	empty	0.0
63	CC(C)=O.COc1ccc(C=O)cc1	COc1ccc(C=CC(C)=O)cc1	[OH-]	O=[Zn]	empty	empty	0.0
64	Nc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O.O=C(Cl)COCCOCCOCCCl	O=C1CCC(N2C(=O)c3ccc(NC(=O)COCCOCCOCCCl)cc3C2=O)C(=O)N1	[Cl-]	C1CCOC1	empty	empty	0.0
65	Cc1ccc(-n2nc(C(C)(C)C)cc2N)cc1.O=C(Cl)OCC(Cl)(Cl)Cl	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)OCC(Cl)(Cl)Cl)cc1	[Cl-]	c1ccncc1.O	empty	empty	0.0
66	C=C(OCC)[Sn](CCCC)(CCCC)CCCC.Cc1nc(N)cc(-c2cc(Cl)cnc2F)n1	C=C(OCC)c1cnc(F)c(-c2cc(N)nc(C)n2)c1	C=C(OCC)[Sn](Cl)(CCCC)CCCCCCCC[Sn](Cl)(CCCC)CCCCCCCCc1cnc(F)c(-c2cc(N)nc(C)n2)c1	CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CC(=O)O[Pd]OC(C)=O.C1COCCO1.CN(C)C=O.F[Cs]	empty	empty	0.0
67	CS(=O)(=O)OCc1ncc(-c2ccc(F)cc2)o1.N#Cc1ccc(NCC(F)(F)F)cc1C(F)(F)F	N#Cc1ccc(N(Cc2ncc(-c3ccc(F)cc3)o2)CC(F)(F)F)cc1C(F)(F)F	CS(=O)(=O)[O-]	O=C(O[Cs])O[Cs]	empty	empty	0.0
68	COc1cccc2c1Sc1ccccc1CC2	Oc1cccc2c1Sc1ccccc1CC2	CCl	O.Cl.c1ccncc1	empty	empty	0.0
69	CC(=O)Nc1ccc(C=O)cc1.N#CCC#N	CC(=O)Nc1ccc(C=C(C#N)C#N)cc1	[OH-]	CCO.C1CCNCC1	empty	empty	0.0
70	COC(=O)C(C)(C)C(c1nc(Cl)cs1)c1[nH]c(-c2ccccc2)c2c(=O)n(C)c(=O)n(C)c12	Cn1c(=O)c2c(-c3ccccc3)[nH]c(C(c3nc(Cl)cs3)C(C)(C)CO)c2n(C)c1=O	BCO	[Na+].CO.[Li]Cl.[BH4-]	empty	empty	0.0
71	CCCCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.COC(=O)CCCCCCC=O	CCCCCC=CCCCCCCC(=O)OC	O=P(c1ccccc1)(c1ccccc1)c1ccccc1		empty	empty	0.0
72	C(=NC1CCCCC1)=NC1CCCCC1.CCCCCCCCCCCCCCCCCC(=O)OCC(CCCC(=O)O)COC(=O)C(NC(c1ccccc1)(c1ccccc1)c1ccccc1)C(C)C.Nc1nc2c(ncn2C2CC(F)C(CO)O2)c(=O)[nH]1	CCCCCCCCCCCCCCCCCC(=O)OCC(CCCC(=O)OCC1OC(n2cnc3c(=O)[nH]c(N)nc32)CC1F)COC(=O)C(NC(c1ccccc1)(c1ccccc1)c1ccccc1)C(C)C	O=C(NC1CCCCC1)NC1CCCCC1		empty	empty	0.0
73	Cc1c(NC(=O)c2ccc(OCC3CCCO3)cc2)ccc2cc(C=O)cnc12.NCC1CC1	Cc1c(NC(=O)c2ccc(OCC3CCCO3)cc2)ccc2cc(CNCC3CC3)cnc12	CC(=O)OB(OC(C)=O)OC(C)=OO	CC(=O)O[BH-](OC(C)=O)OC(C)=O.CN1CCCC1=O.CC(=O)O.O[Na].O.[Na+]	empty	empty	0.0
74	CC(Nc1nccc(N2C(=O)OCC2C(C)C)n1)c1ccc(CCl)cc1.c1cn2c(n1)CNCC2	CC(Nc1nccc(N2C(=O)OCC2C(C)C)n1)c1ccc(CN2CCn3ccnc3C2)cc1	[Cl-]		empty	empty	0.0
75	C[Mg]Cl.O=C1CCCc2c1[nH]c1cc(Cl)c(Cl)cc21	CC1(O)CCCc2c1[nH]c1cc(Cl)c(Cl)cc21	[Mg+]Cl	C1CCOC1	empty	empty	0.0
76	COC(=O)c1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(O)c1SC(F)(F)F.CCOS(=O)(=O)OCC	CCOc1c(SC(F)(F)F)c(C(=O)OC)nn1-c1c(Cl)cc(C(F)(F)F)cc1Cl	CCOS(=O)(=O)O[Cl-][Cl-][H]C(Cl)(Cl)[OH]S(=O)(=O)OCC[H]C(Cl)[OH]S(=O)(=O)OCC	C1COCCO1.[NaH]	empty	empty	0.0
77	CN1CCCC1COc1nc2c(c(N3CCN(C(=O)OCc4ccccc4)CC3CC#N)n1)CCNC2.Ic1cccc2ccccc12.Nc1ccccc1-c1[c-]cccc1.O=C(O[Cs])O[Cs].[Pd]	CN1CCCC1COc1nc2c(c(N3CCN(C(=O)OCc4ccccc4)CC3CC#N)n1)CCN(c1cccc3ccccc13)C2	O=C(O)O[Cs][Cs+][I-][c-]1ccccc1-c1ccccc1Nc1cccc2ccccc12		empty	empty	0.0
